<=50, *, *, Higher Education, *, Not Married,  Adm-clerical, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Exec-managerial, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Handlers-cleaners, *,  White, *, *, *, *, *, *
>50, *, *, K-12 Education, *, Married,  Handlers-cleaners, *,  Black, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Prof-specialty, *,  Black, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Exec-managerial, *,  White, *, *, *, *, *, *
<=50, *, *, K-12 Education, *, Married,  Other-service, *,  Black, *, *, *, *, *, *
>50, *, *, Higher Education, *, Married,  Exec-managerial, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Prof-specialty, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Exec-managerial, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Exec-managerial, *,  Black, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Prof-specialty, *,  Asian-Pac-Islander, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Adm-clerical, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Sales, *,  Black, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Craft-repair, *,  Asian-Pac-Islander, *, *, *, *, *, *
<=50, *, *, K-12 Education, *, Married,  Transport-moving, *,  Amer-Indian-Eskimo, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Farming-fishing, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Machine-op-inspct, *,  White, *, *, *, *, *, *
<=50, *, *, K-12 Education, *, Married,  Sales, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Exec-managerial, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Prof-specialty, *,  White, *, *, *, *, *, *
>50, *, *, Higher Education, *, Married,  Other-service, *,  Black, *, *, *, *, *, *
<=50, *, *, K-12 Education, *, Married,  Farming-fishing, *,  Black, *, *, *, *, *, *
<=50, *, *, K-12 Education, *, Married,  Transport-moving, *,  White, *, *, *, *, *, *
>50, *, *, Higher Education, *, Not Married,  Tech-support, *,  White, *, *, *, *, *, *
>50, *, *, Higher Education, *, Married,  Tech-support, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Craft-repair, *,  White, *, *, *, *, *, *
>50, *, *, Higher Education, *, Married,  ?, *,  Asian-Pac-Islander, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Exec-managerial, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Craft-repair, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Protective-serv, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Sales, *,  Black, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Exec-managerial, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Adm-clerical, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Other-service, *,  Black, *, *, *, *, *, *
<=50, *, *, K-12 Education, *, Not Married,  Machine-op-inspct, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Machine-op-inspct, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Adm-clerical, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Sales, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Prof-specialty, *,  White, *, *, *, *, *, *
<=50, *, *, K-12 Education, *, Married,  Machine-op-inspct, *,  White, *, *, *, *, *, *
>50, *, *, Higher Education, *, Married,  Prof-specialty, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Tech-support, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Adm-clerical, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Handlers-cleaners, *,  White, *, *, *, *, *, *
>50, *, *, Higher Education, *, Married,  Prof-specialty, *,  Black, *, *, *, *, *, *
>50, *, *, Higher Education, *, Married,  Machine-op-inspct, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Exec-managerial, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Craft-repair, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Prof-specialty, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Exec-managerial, *,  Other, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Other-service, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Prof-specialty, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Exec-managerial, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Exec-managerial, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Tech-support, *,  White, *, *, *, *, *, *
<=50, *, *, K-12 Education, *, Married,  Machine-op-inspct, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Other-service, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Adm-clerical, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Machine-op-inspct, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Sales, *,  White, *, *, *, *, *, *
<=50, *, *, K-12 Education, *, Married,  ?, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Transport-moving, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Prof-specialty, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Tech-support, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Craft-repair, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Adm-clerical, *,  White, *, *, *, *, *, *
>50, *, *, Higher Education, *, Married,  Adm-clerical, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Exec-managerial, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  ?, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Prof-specialty, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Sales, *,  Black, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Sales, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Machine-op-inspct, *,  White, *, *, *, *, *, *
>50, *, *, Higher Education, *, Married,  Prof-specialty, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Other-service, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Adm-clerical, *,  White, *, *, *, *, *, *
>50, *, *, K-12 Education, *, Married,  ?, *,  White, *, *, *, *, *, *
<=50, *, *, K-12 Education, *, Not Married,  Other-service, *,  White, *, *, *, *, *, *
<=50, *, *, K-12 Education, *, Married,  Farming-fishing, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Sales, *,  White, *, *, *, *, *, *
>50, *, *, Higher Education, *, Married,  Other-service, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Other-service, *,  White, *, *, *, *, *, *
>50, *, *, Higher Education, *, Married,  Sales, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Craft-repair, *,  White, *, *, *, *, *, *
>50, *, *, Higher Education, *, Not Married,  Sales, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Protective-serv, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Prof-specialty, *,  White, *, *, *, *, *, *
<=50, *, *, K-12 Education, *, Not Married,  Sales, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Prof-specialty, *,  White, *, *, *, *, *, *
>50, *, *, Higher Education, *, Married,  Prof-specialty, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Craft-repair, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Machine-op-inspct, *,  Black, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Sales, *,  Asian-Pac-Islander, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Protective-serv, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Handlers-cleaners, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Prof-specialty, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Sales, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Exec-managerial, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Other-service, *,  Black, *, *, *, *, *, *
>50, *, *, Higher Education, *, Married,  Exec-managerial, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Exec-managerial, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Prof-specialty, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Tech-support, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Craft-repair, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Craft-repair, *,  White, *, *, *, *, *, *
<=50, *, *, K-12 Education, *, Not Married,  ?, *,  White, *, *, *, *, *, *
<=50, *, *, K-12 Education, *, Not Married,  Handlers-cleaners, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Adm-clerical, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Handlers-cleaners, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Sales, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Prof-specialty, *,  White, *, *, *, *, *, *
>50, *, *, Higher Education, *, Married,  Other-service, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Sales, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Machine-op-inspct, *,  White, *, *, *, *, *, *
>50, *, *, K-12 Education, *, Married,  Handlers-cleaners, *,  White, *, *, *, *, *, *
>50, *, *, Higher Education, *, Married,  Sales, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Craft-repair, *,  Black, *, *, *, *, *, *
>50, *, *, Higher Education, *, Married,  Sales, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Craft-repair, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Other-service, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Exec-managerial, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Exec-managerial, *,  Black, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Prof-specialty, *,  White, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Not Married,  Other-service, *,  Black, *, *, *, *, *, *
<=50, *, *, Higher Education, *, Married,  Exec-managerial, *,  White, *, *, *, *, *, *
